KEY,EN,PT
START_GAME,START GAME,COMECAR JOGO
CONFIGURATION,CONFIGURATION,CONFIGURACAO
CREDITS,CREDITS,CREDITOS
LEAVE,LEAVE,SAIR
ALL,All,Todos
HEROES,Heroes,Herois
SERIES,Series,Series
FRUITS,Fruits,Frutas
RESET_ALL,Reset All,Resetar Todos
BACK,Back,Voltar
MENU,Menu,Menu
NEXT,Next,Proximo
* * * CONGRATULATIONS * * *,* * * CONGRATULATIONS * * *,* * * Parabens * * *
BUTTON_COLOR,Button Color,Cor do Botao
LETTER_COLOR,Letter Color,Cor das Letras
LANGUAGE,Language,Lingua
SOUND,Sound,Som
THANKS,Thank you for playing my game!,Obrigado por jogar meu jogo!
THANKS_2,"If you liked it and want to develop new ideas, feel free to get in touch, it will be a pleasure! :D","Se gostou e quiser desenvolver novas ideias, fique a vontade para entrar em contato, sera um prazer! :D"
CONTRIES,Countries,Paises
